SEXE,REG_NAF,data_type,category,NB_POSTES,REMU_TOT_ANNU
H,10_I,anciennete,30+,5455,55144
H,11_J,anciennete,00-05,312383,52143
H,11_J,anciennete,06-09,58865,60443
H,11_J,anciennete,10-14,53169,66424
H,11_J,anciennete,15-19,34312,66940
H,11_J,anciennete,20-29,50189,81223
H,11_J,anciennete,30+,24667,83960
H,12_K,anciennete,00-05,136867,65226
H,12_K,anciennete,06-09,46078,76542
H,12_K,anciennete,10-14,37275,95462
H,12_K,anciennete,15-19,27182,98656
H,12_K,anciennete,20-29,32404,90870
H,12_K,anciennete,30+,22208,94879
H,13_L,anciennete,00-05,36855,42224
H,13_L,anciennete,06-09,8525,51957
H,13_L,anciennete,10-14,6871,54414
H,13_L,anciennete,15-19,9769,48641
H,13_L,anciennete,20-29,10854,48571
H,13_L,anciennete,30+,3852,53168
H,14_M,anciennete,00-05,386793,49522
H,14_M,anciennete,06-09,81917,63272
H,14_M,anciennete,10-14,61964,64251
H,14_M,anciennete,15-19,38322,73316
H,14_M,anciennete,20-29,50216,78120
H,14_M,anciennete,30+,22791,119705
H,15_N,anciennete,00-05,658117,29503
H,15_N,anciennete,06-09,100497,33785
H,15_N,anciennete,10-14,74779,37973
H,15_N,anciennete,15-19,45585,38952
H,15_N,anciennete,20-29,30069,51967
H,15_N,anciennete,30+,13127,49574
H,17_O,anciennete,00-05,19387,31036
H,17_O,anciennete,06-09,3834,41244
H,17_O,anciennete,10-14,4199,43822
H,17_O,anciennete,15-19,6112,39920
H,17_O,anciennete,20-29,8879,47256
H,17_O,anciennete,30+,3936,56968
H,18_P,anciennete,00-05,17784,32886
H,18_P,anciennete,06-09,2997,34345
H,18_P,anciennete,10-14,1380,51895
H,18_P,anciennete,15-19,4559,20226
H,18_P,anciennete,20-29,1130,52971
H,18_P,anciennete,30+,2502,53293
H,19_Q,anciennete,00-05,234023,28108
H,19_Q,anciennete,06-09,35433,32372
H,19_Q,anciennete,10-14,48051,23610
H,19_Q,anciennete,15-19,25837,34937
H,19_Q,anciennete,20-29,26415,32113
H,19_Q,anciennete,30+,9455,41606
H,20_R,anciennete,00-05,65003,38969
H,20_R,anciennete,06-09,8372,51352
H,20_R,anciennete,10-14,9132,48786
H,20_R,anciennete,15-19,8732,51429
H,20_R,anciennete,20-29,5911,125588
H,20_R,anciennete,30+,3868,57372
H,21_S,anciennete,00-05,69100,26561
H,21_S,anciennete,06-09,8027,38808
H,21_S,anciennete,10-14,20193,44867
H,21_S,anciennete,15-19,12918,39048
H,21_S,anciennete,20-29,6483,46552
H,21_S,anciennete,30+,1547,55040
F,04_BDE,anciennete,E,75392,48368
