SEXE;REG_NAF;REG;NB_POSTES;REMU_TOT_ANNU
F;05_C;E;641781;39693
F;06_F;E;102256;40038
F;08_G;E;1127479;31322
F;09_H;E;383631;35600
F;10_I;E;332944;23732
F;11_J;E;257737;51575
F;12_K;E;438794;52550
F;13_L;E;103348;38250
F;14_M;E;530051;47060
F;15_N;E;898825;25802
F;17_O;E;199798;34131
F;18_P;E;36809;29063
F;19_Q;E;1333563;26848
F;20_R;E;85048;31476
F;21_S;E;152552;27571
H;04_BDE;E;264653;47484
H;05_C;E;1828159;45686
H;06_F;E;880977;37414
H;08_G;E;1312588;39550
H;09_H;E;905409;37125
H;10_I;E;344128;28233
H;11_J;E;533584;59640
H;12_K;E;302013;78623
H;13_L;E;76725;46670
H;14_M;E;642003;58747
H;15_N;E;922173;32145
H;17_O;E;46347;39520
H;18_P;E;30353;34423
H;19_Q;E;379215;29039
H;20_R;E;101018;47637
H;21_S;E;118268;33350
E;04_BDE;FR1;83777;55080
E;04_BDE;FRB;12014;39647
E;04_BDE;FRC;16399;40147
E;04_BDE;FRD;8265;56959
E;04_BDE;FRE;34257;45350
E;04_BDE;FRF;27899;50188
E;04_BDE;FRG;9256;40715
E;04_BDE;FRH;7731;50088
E;04_BDE;FRI;10344;42182
E;04_BDE;FRJ;39079;46483
E;04_BDE;FRK;56311;46209
E;04_BDE;FRL;26902;38905
E;04_BDE;FRY;7813;47705
E;05_C;FR1;294925;63075
E;05_C;FRB;129604;39072
E;05_C;FRC;152886;39551
E;05_C;FRD;176870;39631
E;05_C;FRE;205175;42574
E;05_C;FRF;281445;41909
E;05_C;FRG;220526;37056
E;05_C;FRH;167837;34661
E;05_C;FRI;185498;41775
E;05_C;FRJ;135932;44293
E;05_C;FRK;377140;46454
E;05_C;FRL;120391;46548
E;05_C;FRY;21711;39093
E;06_F;FR1;214966;44620
E;06_F;FRB;37702;33338
E;06_F;FRC;31582;36613
E;06_F;FRD;43665;35269
E;06_F;FRE;72892;36277
E;06_F;FRF;62030;36277
E;06_F;FRG;67971;36182
E;06_F;FRH;63372;39376
E;06_F;FRI;59669;38715
E;06_F;FRJ;83536;35155
E;06_F;FRK;138166;33919
E;06_F;FRL;100055;34311
E;06_F;FRY;7628;39257
E;08_G;FR1;553243;47032
E;08_G;FRB;82184;32837
E;08_G;FRC;60397;29572
E;08_G;FRD;123522;30568
E;08_G;FRE;211467;33973
E;08_G;FRF;155805;34362
E;08_G;FRG;140183;34689
E;08_G;FRH;106386;29872
E;08_G;FRI;220623;30400
E;08_G;FRJ;244177;30749
E;08_G;FRK;330125;34241
E;08_G;FRL;146728;34061
E;08_G;FRY;65226;28738
E;09_H;FR1;457789;41728
E;09_H;FRB;38613;35676
E;09_H;FRC;53516;31848
E;09_H;FRD;40947;35849
E;09_H;FRE;145116;28462
E;09_H;FRF;57586;30111
E;09_H;FRG;69325;35398
E;09_H;FRH;47039;31989
E;09_H;FRI;94418;33270
E;09_H;FRJ;92912;35233
E;09_H;FRK;84918;37189
E;09_H;FRL;88890;39854
E;09_H;FRY;17971;37777
E;10_I;FR1;174809;27726
E;10_I;FRB;14341;36484
E;10_I;FRC;28630;19080
E;10_I;FRD;10394;22146
E;10_I;FRE;54938;19622
E;10_I;FRF;68309;24907
E;10_I;FRG;45059;25932
E;10_I;FRH;16731;30323
E;10_I;FRI;38943;28604
E;10_I;FRJ;56188;25255
E;10_I;FRK;107271;24061
E;10_I;FRL;53709;31280
E;10_I;FRY;7750;28487
E;11_J;FR1;385324;65315
E;11_J;FRB;9033;46401
E;11_J;FRC;6304;46092
E;11_J;FRD;10319;51477
E;11_J;FRE;32515;49104
E;11_J;FRF;34067;41785
E;11_J;FRG;46070;50022
E;11_J;FRH;37878;47561
E;11_J;FRI;35746;47041
E;11_J;FRJ;50636;52334
E;11_J;FRK;70293;50254
E;11_J;FRL;66027;50834
E;11_J;FRY;7110;50777
E;12_K;FR1;269236;88163
E;12_K;FRB;16370;48985
E;12_K;FRC;24128;49578
E;12_K;FRD;21354;48989
E;12_K;FRE;47801;48985
E;12_K;FRF;37326;45566
E;12_K;FRG;50261;43923
E;12_K;FRH;47614;47707
E;12_K;FRI;44834;55583
E;12_K;FRJ;62830;45187
E;12_K;FRK;72588;49942
E;12_K;FRL;31197;54954
E;12_K;FRY;15270;53878
E;13_L;FR1;55271;48962
E;13_L;FRB;3701;34519
E;13_L;FRC;10584;33250
E;13_L;FRD;10338;41272
E;13_L;FRE;14978;35537
E;13_L;FRF;7754;41862
E;13_L;FRG;4785;37994
E;13_L;FRH;7006;29801
E;13_L;FRI;12174;37819
E;13_L;FRJ;7163;38195
E;13_L;FRK;31625;40985
E;13_L;FRL;9914;39032
E;13_L;FRY;4781;53445
E;14_M;FR1;489715;68410
E;14_M;FRB;19842;40727
E;14_M;FRC;26425;40813
E;14_M;FRD;50994;37749
E;14_M;FRE;56060;47215
E;14_M;FRF;52611;42877
E;14_M;FRG;34259;44953
E;14_M;FRH;36100;35256
E;14_M;FRI;48425;43407
E;14_M;FRJ;92652;41433
E;14_M;FRK;183979;43161
E;14_M;FRL;70104;47161
E;14_M;FRY;10890;40399
E;15_N;FR1;545793;33101
E;15_N;FRB;45839;25950
E;15_N;FRC;55754;26460
E;15_N;FRD;38801;29138
E;15_N;FRE;201318;26868
E;15_N;FRF;124582;26464
E;15_N;FRG;106504;27602
E;15_N;FRH;93100;27919
E;15_N;FRI;141909;27717
E;15_N;FRJ;104243;26385
E;15_N;FRK;172750;26430
E;15_N;FRL;145164;29952
E;15_N;FRY;45242;24909
E;17_O;FR1;65006;39566
E;17_O;FRB;2458;37722
E;17_O;FRC;5037;35159
E;17_O;FRD;7975;35492
E;17_O;FRE;14164;32735
E;17_O;FRF;15610;33671
E;17_O;FRG;2989;33831
E;17_O;FRH;5488;37853
E;17_O;FRI;39826;29625
E;17_O;FRJ;32375;32450
E;17_O;FRK;21010;35871
E;17_O;FRL;26554;34414
E;17_O;FRY;7653;43163
E;18_P;FR1;18131;36271
E;18_P;FRB;2551;34956
E;18_P;FRC;4483;53202
E;18_P;FRD;2554;29780
E;18_P;FRE;9615;29111
E;18_P;FRF;4520;16064
E;18_P;FRG;5221;21441
E;18_P;FRH;467;33888
E;18_P;FRI;2300;33241
E;18_P;FRJ;6269;28169
E;18_P;FRK;5043;26809
E;18_P;FRL;5419;29246
E;18_P;FRY;589;44851
E;19_Q;FR1;265202;32468
E;19_Q;FRB;83035;25636
E;19_Q;FRC;54156;23878
E;19_Q;FRD;97928;27317
